key,sres_1,sres_2,sres_3,sres_4,sres_5,sres_6,sres_7,sres_8,sres_9,sum
ACCUMULO-706,0,0,0,0,0,0,0,0,0,0
ACCUMULO-705,0,0,0,0,0,0,0,0,0,0
ACCUMULO-671,0,0,0,0,0,1,0,0,0,1
ACCUMULO-638,0,0,1,0,0,1,0,0,0,2
ACCUMULO-626,0,0,1,0,0,0,0,0,0,1
ACCUMULO-617,0,0,0,0,0,0,0,1,0,1
ACCUMULO-594,0,0,0,0,0,0,0,0,0,0
ACCUMULO-582,0,0,1,0,0,1,0,0,0,2
ACCUMULO-571,0,0,0,0,0,1,0,0,0,1
ACCUMULO-569,0,0,0,0,0,0,0,0,0,0
ACCUMULO-549,0,0,0,0,0,1,0,0,1,1
ACCUMULO-532,0,0,1,0,0,0,0,1,0,2
ACCUMULO-508,0,0,0,0,0,0,0,0,0,0
ACCUMULO-492,0,0,0,0,0,1,0,0,0,1
ACCUMULO-490,0,0,0,0,0,0,0,0,0,0
ACCUMULO-483,0,0,1,0,0,0,0,0,0,1
ACCUMULO-482,0,0,1,0,0,0,0,0,0,1
ACCUMULO-456,0,0,0,2,0,2,0,0,0,4
ACCUMULO-454,0,0,1,0,0,0,0,0,0,1
ACCUMULO-452,0,0,0,0,0,0,0,0,0,0
ACCUMULO-448,0,0,0,0,0,3,0,0,0,3
ACCUMULO-431,0,0,1,0,0,0,0,0,0,1
ACCUMULO-420,0,0,0,0,0,1,0,0,0,1
ACCUMULO-418,0,0,0,0,0,0,0,0,0,0
ACCUMULO-404,0,0,0,0,0,0,0,0,0,0
ACCUMULO-403,0,0,1,0,0,0,0,1,0,2
ACCUMULO-394,0,0,0,0,0,1,0,0,0,1
ACCUMULO-391,0,0,1,0,0,0,0,0,0,1
ACCUMULO-387,0,0,0,0,0,0,0,0,0,0
ACCUMULO-378,0,0,1,0,0,1,0,0,0,2
ACCUMULO-359,0,0,0,0,0,1,0,0,0,1
ACCUMULO-347,0,1,0,0,0,0,0,5,0,6
ACCUMULO-312,0,0,0,0,0,0,0,0,0,0
ACCUMULO-261,0,0,0,0,0,0,0,2,0,2
ACCUMULO-254,0,1,0,0,0,0,0,3,0,4
ACCUMULO-238,0,0,0,0,0,0,0,0,0,0
ACCUMULO-220,0,0,0,0,0,1,0,0,1,1
ACCUMULO-196,0,0,0,1,0,0,0,0,0,1
ACCUMULO-132,0,0,0,0,0,2,1,1,0,4
ACCUMULO-49,1,0,0,0,0,0,0,1,0,2
ACCUMULO-47,0,0,0,0,0,0,0,0,0,0
ACCUMULO-19,0,0,0,0,0,1,0,0,0,1
AMBARI-25208,0,0,0,0,0,1,0,0,0,1
AMBARI-25193,0,0,1,0,0,0,0,0,0,1
AMBARI-25053,0,0,1,0,0,1,0,0,0,2
AMBARI-24769,0,0,0,0,0,1,0,1,0,2
AMBARI-24748,0,0,0,0,0,0,0,0,0,0
AMBARI-24710,0,0,0,0,0,1,0,0,0,1
AMBARI-24469,0,0,1,0,0,0,0,0,0,1
AMBARI-24468,0,0,1,1,0,0,0,0,0,2
AMBARI-24387,0,0,2,0,0,0,0,0,0,2
AMBARI-24376,0,0,1,0,0,0,0,0,0,1
AMBARI-24373,0,0,1,0,0,0,0,0,0,1
AMBARI-24370,0,0,0,0,0,1,0,0,0,1
AMBARI-24306,0,0,2,0,0,0,0,2,0,4
AMBARI-24305,0,0,0,0,0,0,0,1,0,1
AMBARI-24301,0,0,1,0,0,1,0,0,0,2
AMBARI-24294,0,0,1,0,0,0,0,0,0,1
AMBARI-24196,0,0,1,0,0,0,0,1,0,2
AMBARI-24014,0,0,2,0,0,0,0,3,0,5
AMBARI-23993,0,0,1,1,0,1,0,3,0,6
AMBARI-23962,1,0,0,0,0,1,0,1,0,3
AMBARI-23858,0,0,1,0,0,1,0,0,0,2
AMBARI-23619,0,0,1,0,0,0,0,0,0,1
AMBARI-23589,0,0,0,1,0,0,0,0,0,1
AMBARI-15000,0,0,1,0,0,0,0,1,0,2
AMBARI-14999,0,0,0,0,0,0,0,0,0,0
AMBARI-14985,0,0,0,0,0,0,0,0,0,0
AMBARI-14947,1,0,0,0,0,1,0,3,0,5
AMBARI-14910,0,0,0,0,0,0,0,3,0,3
AMBARI-14909,0,0,1,0,0,0,0,1,0,2
AMBARI-14893,0,0,1,0,0,0,0,0,0,1
AMBARI-14855,0,0,1,0,0,0,0,0,0,1
AMBARI-14820,0,0,1,0,0,1,0,0,0,2
AMBARI-14749,0,0,1,0,0,0,0,0,0,1
AMBARI-14691,0,0,0,0,0,1,0,0,0,1
AMBARI-14682,0,0,0,0,0,1,0,0,0,1
AMBARI-14622,0,0,0,0,1,1,0,2,0,4
AMBARI-14613,0,0,1,0,0,0,0,0,0,1
AMBARI-14533,1,0,0,0,0,0,0,4,1,5
AMBARI-14528,0,0,1,0,0,0,0,4,0,5
AMBARI-14413,0,0,0,0,0,0,0,1,0,1
AMBARI-14412,0,0,0,0,0,0,0,1,0,1
AMBARI-14353,0,0,1,0,0,0,0,2,0,3
AMBARI-14351,0,0,0,1,0,1,0,1,0,3
AMBARI-14339,0,0,1,0,0,1,0,0,0,2
AMBARI-14329,0,0,0,0,0,0,0,0,0,0
AMBARI-14313,0,0,0,0,0,0,0,1,0,1
AMBARI-14284,0,0,0,0,0,0,0,1,0,1
AMBARI-14225,0,0,1,0,0,0,0,3,0,4
AMBARI-14208,0,0,1,0,0,0,0,3,0,4
AMBARI-14165,0,0,1,0,0,0,0,4,0,5
AMBARI-14143,0,0,1,0,0,0,0,4,0,5
AMBARI-14053,0,0,0,0,0,0,0,3,0,3
AMBARI-14029,0,0,0,0,0,0,0,0,0,0
AMBARI-13911,0,0,1,0,1,0,0,0,0,2
AMBARI-13910,0,0,1,0,0,0,0,0,0,1
AMBARI-13748,1,0,0,0,0,2,0,0,0,3
AMBARI-13738,0,0,0,0,0,1,0,0,0,1
AMBARI-13733,0,0,0,0,0,2,0,1,0,3
AMBARI-13680,0,0,0,0,0,0,0,1,0,1
AMBARI-13606,0,0,0,0,0,0,0,0,0,0
AMBARI-13604,0,0,1,0,0,0,0,0,0,1
AMBARI-13510,0,0,1,0,0,0,0,0,0,1
AMBARI-13421,0,0,0,0,0,0,0,0,0,0
AMBARI-13367,0,2,0,0,0,0,0,2,0,4
AMBARI-13366,0,0,1,0,0,0,0,0,0,1
AMBARI-13365,0,0,0,0,0,0,0,0,0,0
AMBARI-13349,0,0,0,1,0,0,0,2,0,3
AMBARI-13348,0,0,0,0,0,1,0,0,0,1
AMBARI-13288,0,0,1,0,0,0,0,0,0,1
AMBARI-13220,0,1,1,0,0,1,0,0,0,3
AMBARI-13139,0,0,1,0,0,0,0,0,0,1
AMBARI-13094,0,0,1,0,0,0,0,0,0,1
AMBARI-12886,0,0,0,0,0,0,0,0,0,0
AMBARI-12885,0,0,0,1,0,0,0,1,0,2
AMBARI-12767,0,0,0,0,0,0,0,0,0,0
AMBARI-12761,0,0,1,0,0,0,0,0,0,1
AMBARI-12724,0,0,0,0,0,0,0,1,0,1
AMBARI-12650,1,0,0,0,0,0,0,1,0,2
AMBARI-12615,0,0,0,0,0,0,0,0,0,0
AMBARI-12558,0,0,1,0,0,0,0,1,0,2
AMBARI-12439,0,0,0,0,0,0,0,1,0,1
AMBARI-12115,0,0,1,0,0,0,0,0,0,1
AMBARI-12001,0,0,1,0,0,0,0,0,0,1
AMBARI-11860,0,0,0,0,0,0,0,1,3,1
AMBARI-11098,0,1,1,0,0,0,0,2,0,4
AMBARI-11097,0,0,1,0,0,0,0,1,0,2
AMBARI-11067,0,0,0,0,0,0,0,0,0,0
AMBARI-10848,0,0,0,0,0,0,0,0,0,0
AMBARI-10760,0,0,1,0,0,1,0,0,0,2
AMBARI-10737,0,0,1,0,0,0,0,0,0,1
AMBARI-10719,0,0,0,0,0,0,0,0,0,0
AMBARI-10709,0,0,0,0,0,1,0,0,0,1
AMBARI-10670,0,0,0,0,0,0,0,0,0,0
AMBARI-10497,0,0,0,0,0,1,0,0,0,1
AMBARI-10401,0,0,0,0,0,0,0,0,0,0
AMBARI-10318,0,0,0,0,0,0,0,0,0,0
AMBARI-10141,0,0,2,0,0,1,0,0,1,3
AMBARI-10140,0,0,2,0,0,1,0,0,0,3
AMBARI-10029,0,0,1,0,0,0,0,0,0,1
AMBARI-9946,0,0,0,0,0,1,0,3,0,4
AMBARI-9945,0,0,0,0,0,2,0,0,0,2
AMBARI-9633,0,0,2,0,0,3,0,2,0,7
AMBARI-9455,0,0,1,0,0,1,0,0,0,2
AMBARI-9438,0,0,1,0,0,0,0,0,0,1
AMBARI-9393,1,0,1,0,0,1,0,0,0,3
AMBARI-9363,0,0,0,0,1,0,0,3,0,4
AMBARI-9208,0,0,1,0,0,0,0,0,0,1
AMBARI-9156,0,0,0,0,0,0,0,0,0,0
AMBARI-9145,0,0,0,0,0,1,0,0,0,1
AMBARI-9083,0,0,0,0,0,1,0,0,0,1
AMBARI-8788,0,0,1,0,0,1,0,0,0,2
AMBARI-8678,0,0,0,0,0,0,0,0,0,0
AMBARI-8457,0,0,1,0,0,0,0,0,0,1
AMBARI-8454,0,0,1,0,0,1,0,0,0,2
AMBARI-8441,0,0,0,0,0,0,0,1,0,1
AMBARI-8426,0,0,1,0,0,0,0,1,0,2
AMBARI-8425,0,0,1,0,0,1,0,0,0,2
AMBARI-8397,0,0,1,0,0,0,0,1,0,2
AMBARI-8394,0,0,1,0,0,0,0,0,0,1
AMBARI-8386,0,0,0,0,0,0,0,0,0,0
AMBARI-8358,0,0,1,0,0,0,0,1,0,2
AMBARI-8357,0,0,1,0,0,1,0,0,0,2
AMBARI-8356,0,0,1,0,0,0,0,1,0,2
AMBARI-8343,0,0,0,0,0,0,0,2,0,2
AMBARI-8336,0,0,0,0,0,0,0,0,0,0
AMBARI-8304,0,0,1,0,0,0,0,0,0,1
AMBARI-8277,0,0,0,1,0,0,0,0,0,1
AMBARI-8247,0,0,0,0,0,0,0,0,0,0
AMBARI-8245,0,0,1,0,0,0,0,0,0,1
AMBARI-8166,0,0,0,0,0,1,0,1,0,2
AMBARI-8163,0,0,1,0,0,0,0,0,0,1
AMBARI-7985,0,0,1,0,0,0,0,0,0,1
AMBARI-7940,0,0,0,0,0,0,0,0,0,0
AMBARI-7811,0,0,0,1,0,0,0,0,0,1
AMBARI-7809,0,0,1,0,0,0,0,2,0,3
AMBARI-7767,0,0,0,0,0,0,0,0,0,0
AMBARI-7656,0,0,1,0,0,0,0,0,0,1
AMBARI-7450,0,0,0,0,0,1,0,0,0,1
AMBARI-7449,0,0,0,0,0,1,0,0,0,1
AMBARI-7448,0,0,1,0,0,0,0,0,0,1
AMBARI-7202,0,0,0,0,0,0,0,1,0,1
AMBARI-7166,0,0,0,0,0,1,0,0,0,1
AMBARI-7072,0,0,0,0,0,0,0,1,0,1
AMBARI-6977,0,0,0,0,0,1,0,0,0,1
AMBARI-6819,0,0,1,0,0,0,0,1,0,2
AMBARI-6818,0,0,1,0,0,1,0,0,0,2
AMBARI-6817,0,0,1,0,0,0,0,0,0,1
AMBARI-6815,0,0,0,0,0,0,0,1,0,1
AMBARI-6762,1,0,0,0,0,0,0,0,0,1
AMBARI-6706,0,0,1,0,0,1,0,0,0,2
AMBARI-6619,0,0,0,0,0,0,0,0,0,0
AMBARI-6618,0,0,0,0,0,0,0,0,0,0
AMBARI-6416,0,0,0,1,0,1,0,0,0,2
AMBARI-6086,0,0,0,0,0,0,0,0,0,0
AMBARI-6058,0,0,0,0,0,1,0,0,0,1
AMBARI-5699,0,0,0,0,0,1,1,2,0,4
AMBARI-5660,0,0,0,0,0,0,0,0,0,0
AMBARI-5553,0,0,0,0,0,0,0,0,0,0
AMBARI-5550,0,0,0,0,0,0,0,0,0,0
AMBARI-5482,0,0,1,0,0,0,0,0,0,1
AMBARI-5462,0,0,0,0,0,0,0,1,0,1
AMBARI-23249,0,0,1,0,0,0,0,0,0,1
AMBARI-23168,0,0,0,0,0,1,0,0,0,1
AMBARI-23154,0,0,2,0,0,1,0,0,0,3
AMBARI-22708,0,0,1,0,0,0,0,0,0,1
AMBARI-4786,0,0,0,0,0,1,0,0,0,1
AMBARI-4688,0,0,0,0,0,0,0,0,0,0
AMBARI-4671,0,0,0,0,0,1,0,0,0,1
AMBARI-4670,0,0,0,0,0,0,0,0,0,0
AMBARI-4657,0,0,0,0,0,0,0,0,0,0
AMBARI-4467,0,0,0,0,0,0,0,0,0,0
AMBARI-4465,0,0,1,0,0,0,0,0,0,1
AMBARI-4366,0,0,1,0,0,0,0,0,0,1
AMBARI-4229,0,0,1,0,0,0,0,0,0,1
AMBARI-4205,0,0,2,1,0,0,0,1,0,4
AMBARI-4204,0,0,2,0,0,0,0,1,0,3
AMBARI-4032,0,0,0,0,0,2,0,1,0,3
AMBARI-4016,0,0,1,0,0,0,0,0,0,1
AMBARI-3883,0,0,1,0,0,0,0,1,0,2
AMBARI-3774,0,0,1,0,0,0,0,1,0,2
AMBARI-3767,0,0,1,0,0,1,0,0,0,2
AMBARI-3765,0,0,1,0,0,0,0,1,0,2
AMBARI-3753,0,0,0,0,0,0,0,0,0,0
AMBARI-3531,0,0,0,0,0,0,0,1,0,1
AMBARI-3500,0,0,1,0,0,0,0,0,0,1
AMBARI-3492,0,0,1,0,0,0,0,0,0,1
AMBARI-3472,0,0,1,1,0,0,0,0,0,2
AMBARI-3447,0,0,1,0,0,0,0,0,0,1
AMBARI-3429,0,0,1,0,0,0,0,0,0,1
AMBARI-3399,0,0,1,0,0,0,0,0,0,1
AMBARI-3390,0,0,1,0,0,0,0,0,0,1
AMBARI-3388,0,0,1,0,0,0,0,0,0,1
AMBARI-3387,0,0,1,0,0,0,0,0,0,1
AMBARI-3319,0,0,1,0,0,0,0,0,0,1
AMBARI-3264,0,0,1,0,0,0,0,0,0,1
AMBARI-3253,0,0,0,0,0,0,0,0,0,0
AMBARI-3167,0,0,0,0,0,0,0,0,0,0
AMBARI-3113,0,0,2,0,0,0,0,1,0,3
AMBARI-3054,0,0,0,0,0,0,0,0,0,0
AMBARI-2963,0,0,0,0,0,1,0,0,0,1
AMBARI-2956,0,0,0,0,0,0,0,0,0,0
AMBARI-2853,0,0,1,0,0,0,0,3,0,4
AMBARI-2852,0,0,0,0,0,2,0,0,0,2
AMBARI-2849,1,0,1,0,0,0,0,1,0,3
AMBARI-2846,0,0,1,0,0,0,0,0,0,1
AMBARI-2845,1,0,1,0,0,1,0,1,0,4
AMBARI-2833,1,0,1,0,0,0,0,1,0,3
AMBARI-2831,0,0,0,0,0,0,0,0,0,0
AMBARI-2821,0,0,2,0,0,0,0,0,0,2
AMBARI-2818,0,0,2,0,0,0,0,0,0,2
AMBARI-2815,0,0,1,0,0,0,0,0,0,1
AMBARI-2798,0,0,0,0,0,0,0,3,0,3
AMBARI-2797,1,0,2,0,0,0,0,1,0,4
AMBARI-2793,0,0,1,0,0,0,0,0,0,1
AMBARI-2791,0,0,1,0,0,0,0,0,0,1
AMBARI-2790,0,0,2,0,0,0,0,0,0,2
AMBARI-2775,0,0,0,0,0,0,0,0,0,0
AMBARI-2772,0,0,1,0,0,0,0,0,0,1
AMBARI-2770,0,0,1,0,0,0,0,0,0,1
AMBARI-2756,0,0,2,0,0,0,0,0,0,2
AMBARI-2410,0,0,0,0,0,0,0,0,0,0
AMBARI-2332,0,0,0,1,0,0,0,0,0,1
AMBARI-2304,0,0,1,0,0,0,0,0,0,1
AMBARI-2250,0,0,0,0,0,0,0,0,0,0
AMBARI-2214,0,0,0,0,1,0,0,0,0,1
AMBARI-2168,0,0,0,1,0,2,0,0,0,3
AMBARI-2167,0,0,0,0,0,2,0,1,1,3
AMBARI-2123,0,0,0,0,0,0,0,0,0,0
AMBARI-2115,0,0,1,0,0,0,0,0,0,1
AMBARI-1922,0,0,0,0,1,0,0,1,1,2
AMBARI-1908,0,0,0,0,0,0,0,0,0,0
AMBARI-1829,0,0,0,0,0,2,0,1,0,3
AMBARI-1817,0,0,1,0,0,1,0,0,1,2
AMBARI-1800,0,0,1,0,0,0,0,0,0,1
AMBARI-1793,0,0,0,0,0,0,0,0,0,0
AMBARI-1781,0,0,1,0,0,0,0,5,0,6
AMBARI-1777,0,0,0,0,0,0,0,0,0,0
AMBARI-1769,0,0,1,0,0,0,0,0,0,1
AMBARI-1756,0,0,0,1,0,0,0,0,0,1
AMBARI-1742,0,0,0,0,0,0,0,1,0,1
AMBARI-1723,0,0,1,0,0,0,0,1,0,2
AMBARI-1717,0,0,0,1,0,0,0,1,0,2
AMBARI-1716,0,0,0,0,0,0,0,0,0,0
AMBARI-1710,0,0,1,0,0,0,0,1,0,2
AMBARI-1699,0,0,0,0,0,0,0,0,0,0
AMBARI-1698,0,0,1,0,0,0,0,0,1,1
AMBARI-1696,0,0,1,0,0,0,0,0,0,1
AMBARI-1694,0,0,0,0,0,0,0,0,0,0
AMBARI-1693,0,0,1,0,0,0,0,0,0,1
AMBARI-1691,0,0,1,0,0,0,0,0,0,1
AMBARI-1668,0,0,1,0,0,0,0,0,0,1
AMBARI-1663,0,0,0,0,0,2,0,0,0,2
AMBARI-1653,0,0,1,0,0,0,0,0,0,1
AMBARI-1650,0,0,1,1,0,0,0,1,0,3
AMBARI-1639,0,0,0,0,0,0,0,0,0,0
AMBARI-1618,0,0,0,0,0,0,0,0,0,0
AMBARI-1611,0,0,0,1,0,0,0,1,0,2
AMBARI-1558,0,0,0,0,0,1,0,0,0,1
AMBARI-1538,0,0,1,0,0,0,0,0,0,1
AMBARI-1509,0,0,1,0,0,1,0,0,0,2
AMBARI-1481,0,0,1,1,0,0,0,1,0,3
AMBARI-1469,0,0,0,0,0,0,0,0,0,0
AMBARI-1468,0,0,1,1,0,0,0,0,0,2
AMBARI-1459,0,0,1,0,0,0,0,0,0,1
AMBARI-1422,0,0,0,0,0,0,0,0,0,0
AMBARI-1377,1,0,0,0,0,0,0,1,0,2
AMBARI-1349,0,0,0,0,0,0,0,0,0,0
AMBARI-1294,0,1,0,0,0,0,0,0,0,1
AMBARI-1280,0,0,0,0,0,0,0,0,0,0
AMBARI-1194,0,0,0,0,0,0,0,0,0,0
AMBARI-1180,0,0,1,0,0,0,0,0,0,1
AMBARI-1147,0,0,0,0,0,1,0,2,0,3
AMBARI-1018,0,0,0,0,0,1,0,0,0,1
AMBARI-971,0,0,0,0,0,1,0,0,0,1
AMBARI-649,0,0,1,0,0,0,0,0,0,1
AMBARI-631,0,0,1,0,0,0,0,0,0,1
AMBARI-623,0,0,1,0,0,0,0,0,0,1
AMBARI-621,0,1,2,0,0,0,0,2,0,5
AMBARI-616,0,0,0,0,0,0,0,0,0,0
AMBARI-605,0,0,1,0,0,1,0,1,0,3
AMBARI-545,0,0,0,0,0,0,0,0,0,0
AMBARI-231,0,0,1,0,0,0,0,0,0,1
AMBARI-174,0,0,1,0,0,1,0,0,0,2
AMBARI-171,0,0,0,0,0,1,0,2,0,3
AMBARI-119,0,0,0,0,0,0,0,0,0,0
AMBARI-107,0,0,0,0,0,0,0,0,0,0
AMBARI-99,0,0,0,1,0,0,0,0,0,1
AMBARI-84,0,0,1,0,0,0,0,0,0,1
AMBARI-69,0,0,1,0,0,0,0,0,0,1
AMBARI-66,0,0,1,0,0,1,0,0,0,2
AMBARI-65,0,0,0,0,0,0,0,1,0,1
AMBARI-39,0,0,1,0,0,1,0,0,0,2
AMBARI-18,0,0,0,0,0,0,0,0,0,0
AMBARI-15,0,0,0,0,0,0,0,0,0,0
AMBARI-11,0,0,0,0,0,0,0,0,0,0
AMBARI-6,0,0,0,1,0,1,0,0,0,2
AMBARI-5,0,0,1,0,0,0,0,1,0,2
AMBARI-4,0,0,0,0,0,0,0,0,0,0
AMBARI-2,0,0,2,0,0,1,0,0,0,3
AMBARI-22182,0,0,0,0,0,1,0,0,0,1
AMBARI-21805,0,0,0,0,0,0,0,0,0,0
AMBARI-21731,0,0,0,0,0,0,0,0,0,0
AMBARI-21716,0,0,0,0,1,1,0,0,0,2
AMBARI-21599,0,0,2,0,0,0,0,0,0,2
AMBARI-21597,0,0,1,0,0,0,0,0,0,1
AMBARI-21536,0,0,1,0,0,0,0,0,0,1
AMBARI-21513,0,0,0,0,0,1,0,1,0,2
AMBARI-21508,0,0,0,0,0,0,0,1,0,1
AMBARI-21506,0,0,1,0,0,0,0,1,0,2
AMBARI-21503,0,0,1,0,0,0,0,0,0,1
AMBARI-21485,0,0,1,0,0,0,0,0,0,1
AMBARI-21433,0,0,1,0,0,1,0,0,0,2
AMBARI-21307,1,0,0,0,0,1,0,0,0,2
AMBARI-21186,0,0,1,0,0,0,0,1,0,2
